smiles id prediction adm pass/fail
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1 DAR-DIA-23aa0b97-19 3 2 pass
O=C(Cc1cncc2ccccc12)Nc1ccccc1 DAR-DIA-23aa0b97-20 3 2 pass
CS(=O)(=O)NCCOC(C(=O)Nc1cccnc1)c1ccccc1 ADA-UNI-f8e79267-1 3 2 pass
CS(=O)(=O)NCCC(C(=O)Nc1cccnc1)c1ccccc1 ADA-UNI-f8e79267-2 3 2 pass
CS(=O)(=O)NCC1CC1(C(=O)Nc1cccnc1)c1ccccc1 ADA-UNI-f8e79267-3 3 2 pass
CNCCOC(C(=O)Nc1cccnc1)c1ccccc1 ADA-UNI-f8e79267-4 2 2 fail
CNCCC(C(=O)Nc1cccnc1)c1ccccc1 ADA-UNI-f8e79267-5 3 2 pass
CNCC1CC1(C(=O)Nc1cccnc1)c1ccccc1 ADA-UNI-f8e79267-6 3 2 pass
CS(=O)(=O)NCCOC(C(=O)Nc1cccnc1)c1cccc(Cl)c1 ADA-UNI-f8e79267-7 3 2 pass
CS(=O)(=O)NCCC(C(=O)Nc1cccnc1)c1cccc(Cl)c1 ADA-UNI-f8e79267-8 3 2 pass
CS(=O)(=O)NCC1CC1(C(=O)Nc1cccnc1)c1cccc(Cl)c1 ADA-UNI-f8e79267-9 3 2 pass
CNCCOC(C(=O)Nc1cccnc1)c1cccc(Cl)c1 ADA-UNI-f8e79267-10 3 2 pass
CNCCC(C(=O)Nc1cccnc1)c1cccc(Cl)c1 ADA-UNI-f8e79267-11 2 2 fail
CNCC1CC1(C(=O)Nc1cccnc1)c1cccc(Cl)c1 ADA-UNI-f8e79267-12 3 2 pass
CC(=O)N1CCN(Cc2cccc(C#N)c2)CC1 PAT-UNK-b2d83456-1 3 3 pass
CC#Cc1cccc(CN2CCN(C(C)=O)CC2)c1 PAT-UNK-b2d83456-2 3 2 pass
CC(=O)N1CCN(Cc2cccc(N3CCCCC3)c2)CC1 PAT-UNK-b2d83456-3 2 3 fail
CC(=O)NCCc1c[nH]c2c(CN3CCN(C(C)=O)CC3)cccc12 PAT-UNK-b2d83456-4 3 2 pass
CC(=O)NCCc1c[nH]c2c(CN3CCN(C(C)=O)CC3)cc(C#N)cc12 PAT-UNK-b2d83456-5 3 2 pass
N#Cc1cccc(NC(=O)Nc2cccnc2)c1 WAR-XCH-eb7b662f-1 3 2 pass
N#Cc1cc(Cl)cc(NC(=O)Nc2cccnc2)c1 WAR-XCH-eb7b662f-2 3 2 pass
O=C(Nc1cccnc1)Nc1cc(Cl)cc(Cl)c1 WAR-XCH-eb7b662f-3 3 2 pass
O=C(Nc1cccnc1)Nc1cc(O)cc(Cl)c1 WAR-XCH-eb7b662f-4 3 2 pass
Cc1cc(Cl)cc(NC(=O)Nc2cccnc2)c1 WAR-XCH-eb7b662f-5 3 2 pass
Cc1cccc(NC(=O)Nc2cccnc2)c1 WAR-XCH-eb7b662f-6 3 2 pass
